id_inmueble,precio,planta,int/ext,nº hab,m2,ascensor,garage,barrio,id_barrio,distrito,id_distrito
4293,2490000,0,EXTERIOR,4,375.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4294,450000,5,EXTERIOR,1,78.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4295,1590000,2,EXTERIOR,4,210.0,True,True,EL VISO,51,CHAMARTIN,5
4296,1975000,1,EXTERIOR,4,235.0,True,True,EL VISO,51,CHAMARTIN,5
4297,340000,8,EXTERIOR,2,78.0,True,False,CASTILLA,56,CHAMARTIN,5
4298,350000,3,EXTERIOR,3,79.0,False,True,PROSPERIDAD,52,CHAMARTIN,5
4299,2300000,3,EXTERIOR,4,335.0,True,False,EL VISO,51,CHAMARTIN,5
4300,440000,1,EXTERIOR,4,135.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4301,2800000,1,EXTERIOR,4,463.0,True,True,EL VISO,51,CHAMARTIN,5
4302,342000,7,INTERIOR,1,65.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4303,920000,12,EXTERIOR,3,190.0,True,True,CASTILLA,56,CHAMARTIN,5
4304,450000,1,EXTERIOR,1,60.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4305,417000,1,EXTERIOR,2,83.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4306,325000,3,EXTERIOR,1,52.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4307,525000,4,EXTERIOR,3,90.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4308,415000,2,EXTERIOR,1,80.0,True,True,CASTILLA,56,CHAMARTIN,5
4309,475000,2,EXTERIOR,1,71.0,True,False,EL VISO,51,CHAMARTIN,5
4310,13950000,0,EXTERIOR,6,1.116,False,True,EL VISO,51,CHAMARTIN,5
4311,370000,3,EXTERIOR,2,70.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4312,270000,2,EXTERIOR,2,65.0,True,False,CASTILLA,56,CHAMARTIN,5
4313,550000,5,EXTERIOR,2,82.0,True,False,EL VISO,51,CHAMARTIN,5
