Nº Distrito;DISTRITO;BARRIO;PARQUES Y ZONAS VERDES DE DISTRITO CON MAYOR SUPERFICIE;Superficie (m2);Superficie (ha)
10;LATINA;PUERTA DEL ANGEL;Z.A. PARQUE CARAMUEL;33.115,39;3,31
10;LATINA;CAMPAMENTO;METRO CIUDAD JARDIN;27.466,08;2,75
10;LATINA;LAS AGUILAS;PARQUE CASILDA DE BUSTOS;27.430,45;2,74
10;LATINA;CAMPAMENTO;Juan Carmona “Habichuela”;24.482,06;2,45
10;LATINA;LUCERO;PPI -14;22.317,55;2,23
10;LATINA;PUERTA DEL ANGEL;PARQUE CARAMUEL;22.184,18;2,22
10;LATINA;ALUCHE;Cuña Verde - Seseña 34 Posterior;21.550,58;2,16
10;LATINA;PUERTA DEL ANGEL;TERRIZOS ARBOLADO S. BENIGNO-SEPULVEDA;21.349,90;2,13
10;LATINA;LUCERO;COL. VIRGEN DE LOURDES;20.915,54;2,09
10;LATINA;LAS AGUILAS;JARDINES DEL POL. C. CARABANCHEL;19.033,48;1,90
10;LATINA;LAS AGUILAS;PAR GRAL. Gª ESCAMEZ;15.970,20;1,60
10;LATINA;PUERTA DEL ANGEL;COL. JUAN TORNERO;15.531,33;1,55
10;LATINA;ALUCHE;Parque Félix Cortés;15.078,25;1,51
10;LATINA;LUCERO;COL. ANTONIO BLASCO;12.450,49;1,25
10;LATINA;LAS AGUILAS;GRAL. FANJUL - STA. MARGARITA;12.166,27;1,22
10;LATINA;LAS AGUILAS;APARCAMIENTO GRAL SALIQUET;11.950,32;1,20
10;LATINA;CAMPAMENTO;CTRA. BOADILLA DEL MONTE DESDE LA N-V;11.220,91;1,12
10;LATINA;LOS CARMENES;Bº DE GOYA;10.909,68;1,09
10;LATINA;LAS AGUILAS;TERRIZOS ARBOLADO GRAL. ROMERO BASART A;10.223,06;1,02
10;LATINA;LOS CARMENES;CAMPO DE FUTBOL Bº DE GOYA;10.033,30;1,00
10;LATINA;LAS AGUILAS;PARQUE RAFAEL FINAT;10.010,64;1,00
