id_centro_edu,centro_edu,tipo_edu,Pub_Priv,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
1385,AUTOESCUELA,AUTOESCUELA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    COSTA RICA                                        ,12,442724.6,4478847.5,40.45832112788198,-3.6755242933577583
1386,CENTRO DE INFANTIL Y PRIMARIA PRIVADO,INFANTIL Y PRIMARIA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,AVENIDA                  ALFONSO XIII                                      ,90,443468.6,4478538.5,40.45558845379953,-3.6667223706408656
1387,ESCUELAS INFANTILES DE SEGUNDO CICLO,INFANTIL,PRIVADO,CIUDAD JARDIN       ,3,CHAMARTIN           ,5,CALLE                    LUIS LARRAINZA                                    ,46,443268.6,4478002.5,40.45074628037624,-3.669033094369051
1388,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,CIUDAD JARDIN       ,3,CHAMARTIN           ,5,CALLE                    LUIS LARRAINZA                                    ,46,443268.6,4478002.5,40.45074628037624,-3.669033094369051
1389,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,PROSPERIDAD         ,2,CHAMARTIN           ,5,CALLE                    LOPEZ DE HOYOS                                    ,212,443559.6,4477873.5,40.449603994927834,-3.665590087737889
1390,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EL VISO             ,1,CHAMARTIN           ,5,PASEO                    LA HABANA                                         ,12,441490.6,4477691.5,40.4478214034988,-3.6899709646733214
1391,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    COLOMBIA                                          ,47,443104.6,4478707.5,40.45708604605221,-3.671030196891258
1392,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PROSPERIDAD         ,2,CHAMARTIN           ,5,CALLE                    PONTEAREAS                                        ,13,443200.6,4477186.5,40.44339071045397,-3.6697619903754677
1393,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PROSPERIDAD         ,2,CHAMARTIN           ,5,CALLE                    ZABALETA                                          ,9,442804.38,4476999.0,40.44167445736909,-3.6744169138365397
1394,AUTOESCUELA,AUTOESCUELA,PRIVADO,PROSPERIDAD         ,2,CHAMARTIN           ,5,CALLE                    CARTAGENA                                         ,110,442857.6,4476795.5,40.43984488869408,-3.6737711129552464
1395,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    CONDES DEL VAL                                    ,12,442037.6,4478526.5,40.455381782480366,-3.683597136500902
1396,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PROSPERIDAD         ,2,CHAMARTIN           ,5,CALLE                    CORAZON DE MARIA                                  ,41,443400.6,4477415.5,40.44546729493594,-3.6674242055447945
1397,AUTOESCUELA,AUTOESCUELA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    VICTOR DE LA SERNA                                ,16,443043.6,4478307.5,40.45347847899171,-3.6717137042428045
1398,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PROSPERIDAD         ,2,CHAMARTIN           ,5,CALLE                    JUAN BAUTISTA DE TOLEDO                           ,23,442950.6,4477110.5,40.44268894915431,-3.672702899969709
