nombre_estacion,linea,barrio,id_barrio,distrito,id_distrito,orden_paradas,longitud,latitud,trafico
Arguelles,L3/L4/L6,ARGUELLES,2,MONCLOA-ARAVACA,9,2,"-3,716,055,779.00","4,043,059,028.00",14.590.179
Arroyofresno,L7,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,2,"-3,726,020,646.00","4,049,083,754.00",337.584
Artilleros,L9,HORCAJO,2,MORATALAZ,14,19,"-3,641,798,629.00","4,040,509,442.00",3.267.306
Arturo Soria,L4,COLINA,7,CIUDAD LINEAL,15,15,"-3,656,293,067.00","404,558,431.00",2.531.498
Ascao,L7,PUEBLO NUEVO,2,CIUDAD LINEAL,15,19,"-3,641,083,238.00","4,043,012,943.00",3.182.987
Atocha,L1,ATOCHA,7,ARGANZUELA,2,19,"-3,689,417,845.00","4,040,657,541.00",11.088.992
Avenida de America,L4/L6/L7/L9,PROSPERIDAD,2,CHAMARTIN,5,11,"-3,676,670,475.00","4,043,809,255.00",35.284.265
Avenida de Guadalajara,L2,ARCOS,4,SAN BLAS - CANILLEJAS,20,2,"-3,611,886,184.00","4,042,233,839.00",1.752.368
Avenida de la Ilustracion,L7,PEÑAGRANDE,3,FUENCARRAL-EL PARDO,8,4,"-3,718,274,427.00","4,048,004,996.00",1.728.884
Avenida de la Paz,L4,CIUDAD JARDIN,3,CHAMARTIN,5,14,"-3,662,086,639.00","4,045,339,396.00",1.338.149
Aviacion Espanola,L10,AGUILAS,7,LATINA,10,28,"-378,387,852.00","4,038,375,966.00",2.164.440
Bambu,L1,CASTILLA,6,CHAMARTIN,5,2,"-3,676,373,739.00","4,047,687,195.00",1.220.848
Banco de España,L2,CORTES,3,CENTRO,1,11,"-369,510,415.00","4,041,910,329.00",3.745.138
Barajas,L8,TIMON,4,BARAJAS,21,2,"-3,582,599,556.00","4,047,582,515.00",2.592.191
Barrio de la Concepción,L7,LA CONCEPCION,4,CIUDAD LINEAL,15,17,"-3,651,601,034.00","4,043,885,084.00",3.038.122
Barrio del Pilar,L9,PILAR,4,FUENCARRAL-EL PARDO,8,4,"-3,703,108,241.00","404,762,505.00",4.225.431
Batan,L10,LUCERO,3,LATINA,10,25,"-3,753,003,529.00","4,040,766,826.00",2.761.043
Begona,L10,VALVERDE,6,FUENCARRAL-EL PARDO,8,13,"-3,685,761,032.00","4,048,046,924.00",4.943.875
Bilbao,L1/L4,JUSTICIA,4,CENTRO,1,12,"-3,702,228,731.00","4,042,903,458.00",8.467.553
Buenos Aires,L1,PORTAZGO,5,PUENTE DE VALLECAS,13,25,"-3,653,950,912.00","4,039,154,908.00",2.559.265
Callao,L3/L5,SOL,6,CENTRO,1,5,"-3,705,670,266.00","4,042,026,238.00",15.303.823
Campamento,L5,ALUCHE,4,LATINA,10,2,"-3,768,217,204.00","4,039,465,453.00",2.899.486
Canal,L2/L7,ARAPILES,2,CHAMBERI,7,11,"-3,704,337,283.00","4,043,821,445.00",8.798.589
Canillas,L4,CANILLAS,3,HORTALEZA,16,17,"-3,635,445,002.00","4,046,433,275.00",3.003.992
Canillejas,L5,CANILLEJAS,7,SAN BLAS - CANILLEJAS,20,30,"-3,608,127,488.00","4,044,936,151.00",3.113.978
Carabanchel,L5,VISTA ALEGRE,4,CARAMBACHEL,11,6,"-3,744,896,251.00","4,038,783,197.00",3.436.762
Carabanchel Alto,L11,BUENAVISTA,6,CARAMBACHEL,11,5,"-3,751,846,671.00","4,037,208,053.00",1.602.522
